n,mode_index,m_MeV
4,0,65.13532345940908
4,1,300.41809708683303
4,2,489.9946370317453
4,3,2259.960473391434
6,0,30.654622529950082
6,1,63.22882900114746
6,2,89.99532065077167
6,3,1443.8595403888187
6,4,1633.2223586638854
6,5,3073.1937681723784
8,0,0.41105484005508264
8,1,0.4324582030898832
8,2,112.12558714233585
8,3,608.7930839880787
8,4,702.8036482014974
8,5,2552.9333930860157
8,6,2685.8630046399435
8,7,3815.9175914371945
10,0,13.328838428756061
10,1,19.029269361352632
10,2,132.73695752032228
10,3,227.7494150908966
10,4,263.8161126607148
10,5,1553.0768592788204
10,6,1645.125308634053
10,7,3516.7724403610737
10,8,3601.6523865670383
10,9,4512.167036497064
