n,theta_deg,M_n,Sigma_n,split,status
3,12.732395447351626,313.8592302862007,1883.1553817172044,3+0,VERIFIED
4,4.9366319666665115,389.43856637117767,3115.5085309694214,3+1,predicted
5,3.697564049770938,460.38532045970953,4603.853204597095,3+2,predicted
6,2.4594769474854568,527.8462032839125,6334.15443940695,5+1,predicted
7,1.7490277833804242,592.5397559966002,8295.556583952402,5+2,predicted
8,1.4539834454305107,654.9549888461382,10479.279821538212,6+2,predicted
9,1.0770452492218061,715.4443303277892,12877.997945900206,7+2,predicted
10,0.8811197887995312,774.2727312200047,15485.454624400096,7+3,predicted
11,0.7419968891959927,831.6459524170824,18296.210953175814,9+2,predicted
12,0.6081394462250357,887.7279602934511,21305.471047042825,9+3,predicted
13,0.5284045938218136,942.6521850075251,24508.956810195654,9+4,predicted
