n,theta_rad,asymptotic,ratio
3,0.2222222222222222,0.043002834386944085,5.167618027747729
4,0.08616048177753358,0.024189094342656047,3.561955671304098
5,0.06453466697187835,0.015481020379299871,4.168631355732181
6,0.04292597061052089,0.010750708596736021,3.9928503525389454
7,0.03052629352884656,0.007898479785357076,3.8648315066196655
8,0.025376798392253715,0.006047273585664012,4.196403227466557
9,0.01879798579188341,0.004778092709660454,3.9342028156710365
10,0.015378441419028874,0.0038702550948249677,3.973495555781799
11,0.012950288756025614,0.0031985579296074113,4.048789811230689
12,0.010614035647881874,0.0026876771491840053,3.9491483012029023
13,0.009222399944853934,0.0022900917720857796,4.027087498093719
