n,theta_rad,sum_cos_residual,sum_cos_sq_residual,mean_A_residual,var_A_residual,var_over_mean_sq_residual,row_ok
3,0.18479956785822313,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,True
3,0.21,2.7755575615628914e-16,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,True
3,-0.11,4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16,6.661338147750939e-16,True
5,0.18479956785822313,2.220446049250313e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,4.440892098500626e-16,True
5,0.21,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,0.0,True
5,-0.11,4.440892098500626e-16,0.0,0.0,2.220446049250313e-16,0.0,True
7,0.18479956785822313,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,True
7,0.21,3.3306690738754696e-16,0.0,0.0,2.220446049250313e-16,0.0,True
7,-0.11,7.771561172376096e-16,4.440892098500626e-16,2.220446049250313e-16,0.0,6.661338147750939e-16,True
9,0.18479956785822313,3.3306690738754696e-16,0.0,0.0,2.220446049250313e-16,0.0,True
9,0.21,7.771561172376096e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,True
9,-0.11,1.2212453270876722e-15,0.0,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,True
