n,knot,M_n_MeV,sum_m_k_MeV,n_pow_7_over_4_factor,verified_n3
3,"T(2,3)",313.8592302862007,1883.1553817172044,1.0,True
4,"T(2,4)",389.43856637117767,3115.5085309694214,1.6544086384037324,False
5,"T(2,5)",460.38532045970953,4603.853204597095,2.444754824426093,False
6,"T(2,6)",527.8462032839125,6334.15443940695,3.363585661014858,False
7,"T(2,7)",592.5397559966002,8295.556583952402,4.405136540771205,False
8,"T(2,8)",654.9549888461382,10479.279821538212,5.56474517359391,False
9,"T(2,9)",715.4443303277892,12877.997945900206,6.8385211708643325,False
10,"T(2,10)",774.2727312200047,15485.454624400096,8.223142272136503,False
11,"T(2,11)",831.6459524170824,18296.210953175814,9.715720290957583,False
12,"T(2,12)",887.7279602934511,21305.471047042825,11.313708498984761,False
13,"T(2,13)",942.6521850075251,24508.956810195654,13.014835126269038,False
