n,theta_rad,bisect_brentq_agree,theta_diff,residual_abs
3,0.2222222222222222,True,0.0,2.220446049250313e-16
4,0.08616048177753366,True,8.326672684688674e-17,2.7755575615628914e-16
5,0.06453466697187825,True,9.71445146547012e-17,4.996003610813204e-16
6,0.0429259706105209,True,6.938893903907228e-18,5.551115123125783e-17
7,0.030526293528846657,True,9.71445146547012e-17,6.661338147750939e-16
8,0.025376798392253704,True,1.0408340855860843e-17,8.326672684688674e-17
9,0.018797985791883413,True,3.469446951953614e-18,5.551115123125783e-17
10,0.01537844141902887,True,3.469446951953614e-18,5.551115123125783e-17
11,0.01295028875602578,True,1.6479873021779667e-16,1.8318679906315083e-15
12,0.010614035647881876,True,1.734723475976807e-18,0.0
13,0.009222399944853908,True,2.6020852139652106e-17,3.469446951953614e-16
14,0.007886428544519307,True,1.734723475976807e-18,1.3877787807814457e-17
15,0.006832123056804891,True,5.204170427930421e-18,8.326672684688674e-17
16,0.006127314554903745,True,8.673617379884035e-19,1.3877787807814457e-17
17,0.0053305660174025864,True,1.734723475976807e-18,2.7755575615628914e-17
18,0.004769586650898467,True,8.673617379884035e-19,0.0
19,0.004304747434555787,True,1.734723475976807e-18,2.7755575615628914e-17
20,0.003852468647887996,True,4.336808689942018e-19,1.3877787807814457e-17
21,0.0035198723013360996,True,2.6020852139652106e-18,4.163336342344337e-17
