n,theta_rad,theta_deg,n_times_theta,Q_tilde,residual_abs,n_plus,n_minus,bisect_brentq_agree,theta_diff
3,0.2222222222222222,12.732395447351626,0.6666666666666666,0.6666666666666669,2.220446049250313e-16,3,0,True,0.0
4,0.08616048177753366,4.936631966666516,0.34464192711013464,0.34464192711013436,2.7755575615628914e-16,3,1,True,8.326672684688674e-17
5,0.06453466697187825,3.697564049770932,0.32267333485939126,0.32267333485939176,4.996003610813204e-16,3,2,True,9.71445146547012e-17
6,0.0429259706105209,2.459476947485457,0.2575558236631254,0.25755582366312535,5.551115123125783e-17,5,1,True,6.938893903907228e-18
7,0.030526293528846657,1.7490277833804297,0.21368405470192658,0.21368405470192592,6.661338147750939e-16,5,2,True,9.71445146547012e-17
8,0.025376798392253704,1.4539834454305103,0.20301438713802963,0.20301438713802972,8.326672684688674e-17,6,2,True,1.0408340855860843e-17
9,0.018797985791883413,1.0770452492218063,0.1691818721269507,0.16918187212695066,5.551115123125783e-17,7,2,True,3.469446951953614e-18
10,0.01537844141902887,0.881119788799531,0.1537844141902887,0.15378441419028877,5.551115123125783e-17,7,3,True,3.469446951953614e-18
11,0.01295028875602578,0.7419968891960022,0.14245317631628357,0.14245317631628174,1.8318679906315083e-15,9,2,True,1.6479873021779667e-16
12,0.010614035647881876,0.6081394462250358,0.12736842777458252,0.12736842777458252,0.0,9,3,True,1.734723475976807e-18
13,0.009222399944853908,0.528404593821812,0.1198911992831008,0.11989119928310114,3.469446951953614e-16,9,4,True,2.6020852139652106e-17
14,0.007886428544519307,0.451859071032457,0.1104099996232703,0.11040999962327032,1.3877787807814457e-17,11,3,True,1.734723475976807e-18
15,0.006832123056804891,0.39145181626893905,0.10248184585207337,0.10248184585207346,8.326672684688674e-17,11,4,True,5.204170427930421e-18
16,0.006127314554903745,0.35106926374506514,0.09803703287845993,0.09803703287845991,1.3877787807814457e-17,12,4,True,8.673617379884035e-19
17,0.0053305660174025864,0.30541893521302793,0.09061962229584397,0.090619622295844,2.7755575615628914e-17,13,4,True,1.734723475976807e-18
18,0.004769586650898467,0.2732771851184193,0.08585255971617241,0.08585255971617241,0.0,13,5,True,8.673617379884035e-19
19,0.004304747434555787,0.24664385986981513,0.08179020125655995,0.08179020125655997,2.7755575615628914e-17,15,4,True,1.734723475976807e-18
20,0.003852468647887996,0.22073019423045298,0.07704937295775992,0.07704937295775993,1.3877787807814457e-17,15,5,True,4.336808689942018e-19
21,0.0035198723013360996,0.20167382729155883,0.07391731832805809,0.07391731832805805,4.163336342344337e-17,15,6,True,2.6020852139652106e-18
