n,mode_index,m_MeV,sum_modes,two_n_Mn
7,0,38.48174768035011,8295.556583952402,8295.556583952402
7,1,50.62511134940973,8295.556583952402,8295.556583952402
7,2,245.2690570325526,8295.556583952402,8295.556583952402
7,3,313.63664169477346,8295.556583952402,8295.556583952402
7,4,2022.6870051308388,8295.556583952402,8295.556583952402
7,5,2173.1670263244273,8295.556583952402,8295.556583952402
7,6,3451.6899947400507,8295.556583952402,8295.556583952402
9,0,52.154642828037204,12877.997945900208,12877.997945900206
9,1,71.45928366970452,12877.997945900208,12877.997945900206
9,2,73.07818798084443,12877.997945900208,12877.997945900206
9,3,81.63035971734952,12877.997945900208,12877.997945900206
9,4,1063.7386577568066,12877.997945900208,12877.997945900206
9,5,1157.0518400423264,12877.997945900208,12877.997945900206
9,6,3053.98378220706,12877.997945900208,12877.997945900206
9,7,3155.849136229086,12877.997945900208,12877.997945900206
9,8,4169.052055468994,12877.997945900208,12877.997945900206
11,0,3.006308872427067,18296.21095317581,18296.210953175814
11,1,6.411828190519506,18296.21095317581,18296.210953175814
11,2,102.84210764894601,18296.21095317581,18296.210953175814
11,3,108.96645673540672,18296.21095317581,18296.210953175814
11,4,506.7855508616934,18296.21095317581,18296.210953175814
11,5,554.9526292035846,18296.21095317581,18296.210953175814
11,6,2051.9544705986373,18296.21095317581,18296.210953175814
11,7,2139.9261352955814,18296.21095317581,18296.210953175814
11,8,3951.266815053056,18296.21095317581,18296.210953175814
11,9,4023.3870036588332,18296.21095317581,18296.210953175814
11,10,4846.711647057128,18296.21095317581,18296.210953175814
13,0,2.3434911588552314,24508.956810195647,24508.956810195654
13,1,4.251503021269408,24508.956810195647,24508.956810195654
13,2,129.00686864435076,24508.956810195647,24508.956810195654
13,3,133.39737775291067,24508.956810195647,24508.956810195654
13,4,222.96191097187003,24508.956810195647,24508.956810195654
13,5,245.88528023276612,24508.956810195647,24508.956810195654
13,6,1262.9935334730544,24508.956810195647,24508.956810195654
13,7,1320.1337345283077,24508.956810195647,24508.956810195654
13,8,3029.122769557923,24508.956810195647,24508.956810195654
13,9,3102.1073241941713,24508.956810195647,24508.956810195654
13,10,4755.688251901463,24508.956810195647,24508.956810195654
13,11,4807.158929943444,24508.956810195647,24508.956810195654
13,12,5493.905834815262,24508.956810195647,24508.956810195654
