n,k,m_k,m_n_minus_k,abs_split_MeV
7,1,2022.6870051308388,2173.1670263244273,150.48002119358853
7,2,245.2690570325526,313.63664169477346,68.36758466222085
7,3,50.62511134940973,38.48174768035011,12.143363669059617
9,1,3053.98378220706,3155.849136229086,101.86535402202617
9,2,1063.7386577568066,1157.0518400423264,93.31318228551982
9,3,52.154642828037204,71.45928366970452,19.304640841667315
9,4,81.63035971734952,73.07818798084443,8.552171736505088
11,1,3951.266815053056,4023.3870036588332,72.12018860577746
11,2,2051.9544705986373,2139.9261352955814,87.97166469694412
11,3,506.7855508616934,554.9526292035846,48.16707834189117
11,4,3.006308872427067,6.411828190519506,3.405519318092439
11,5,108.96645673540672,102.84210764894601,6.124349086460711
