n,theta_rad,Phi,C,Phi_over_C,Psi_geom,abs_delta,row_ok
3,0.2222222222222222,6.0,8.999999999999998,0.6666666666666669,0.6666666666666666,2.220446049250313e-16,True
4,0.08616048177753366,7.999999999999999,23.212497873027228,0.34464192711013436,0.34464192711013464,2.7755575615628914e-16,True
5,0.06453466697187825,10.0,30.99109507873529,0.32267333485939176,0.32267333485939126,4.996003610813204e-16,True
6,0.0429259706105209,12.000000000000004,46.59184105926339,0.25755582366312535,0.2575558236631254,5.551115123125783e-17,True
7,0.030526293528846657,14.0,65.51728915631541,0.21368405470192592,0.21368405470192658,6.661338147750939e-16,True
8,0.025376798392253704,16.0,78.81214836819215,0.20301438713802972,0.20301438713802963,8.326672684688674e-17,True
9,0.018797985791883413,18.000000000000004,106.39437768186635,0.16918187212695066,0.1691818721269507,5.551115123125783e-17,True
10,0.01537844141902887,19.999999999999993,130.0521909538409,0.15378441419028877,0.1537844141902887,5.551115123125783e-17,True
11,0.01295028875602578,22.000000000000007,154.43671084704,0.14245317631628174,0.14245317631628357,1.8318679906315083e-15,True
12,0.010614035647881876,23.999999999999996,188.42974212161394,0.12736842777458252,0.12736842777458252,0.0,True
13,0.009222399944853908,26.0,216.86329067912445,0.11989119928310114,0.1198911992831008,3.469446951953614e-16,True
