n,theta_reference,theta_rederived,agree,abs_diff,residual_abs
3,0.2222222222222222,0.2222222222222222,True,0.0,2.220446049250313e-16
4,0.08616048177753366,0.08616048177753366,True,0.0,2.7755575615628914e-16
5,0.06453466697187825,0.06453466697187825,True,0.0,4.996003610813204e-16
6,0.0429259706105209,0.0429259706105209,True,0.0,5.551115123125783e-17
7,0.030526293528846657,0.030526293528846657,True,0.0,6.661338147750939e-16
8,0.025376798392253704,0.025376798392253704,True,0.0,8.326672684688674e-17
9,0.018797985791883413,0.018797985791883413,True,0.0,5.551115123125783e-17
10,0.01537844141902887,0.01537844141902887,True,0.0,5.551115123125783e-17
11,0.01295028875602578,0.01295028875602578,True,0.0,1.8318679906315083e-15
12,0.010614035647881876,0.010614035647881876,True,0.0,0.0
13,0.009222399944853908,0.009222399944853908,True,0.0,3.469446951953614e-16
